WoS subject category,Broad area
Agriculture; Dairy & Animal Science ,Agricultural sciences 
Agriculture; Multidisciplinary ,Agricultural sciences 
Agronomy ,Agricultural sciences 
Fisheries ,Agricultural sciences 
Food Science & Technology ,Agricultural sciences 
Forestry ,Agricultural sciences 
Green & Sustainable Science & Technology ,Agricultural sciences 
Horticulture ,Agricultural sciences 
Astronomy & Astrophysics ,Astronomy 
Anatomy & Morphology ,Biological sciences 
Biochemical Research Methods ,Biological sciences 
Biochemistry & Molecular Biology ,Biological sciences 
Biodiversity Conservation ,Biological sciences 
Biology ,Biological sciences 
Biophysics ,Biological sciences 
Biotechnology & Applied Microbiology ,Biological sciences 
Cell & Tissue Engineering ,Biological sciences 
Cell Biology ,Biological sciences 
Developmental Biology ,Biological sciences 
Ecology ,Biological sciences 
Entomology ,Biological sciences 
Evolutionary Biology ,Biological sciences 
Genetics & Heredity ,Biological sciences 
Microbiology ,Biological sciences 
Mycology ,Biological sciences 
Nutrition & Dietetics ,Biological sciences 
Ornithology ,Biological sciences 
Paleontology ,Biological sciences 
Parasitology ,Biological sciences 
Physiology ,Biological sciences 
Plant Sciences ,Biological sciences 
Reproductive Biology ,Biological sciences 
Virology ,Biological sciences 
Zoology ,Biological sciences 
Chemistry; Analytical ,Chemistry 
Chemistry; Applied ,Chemistry 
Chemistry; Inorganic & Nuclear ,Chemistry 
Chemistry; Medicinal ,Chemistry 
Chemistry; Multidisciplinary ,Chemistry 
Chemistry; Organic ,Chemistry 
Chemistry; Physical ,Chemistry 
Crystallography ,Chemistry 
Electrochemistry ,Chemistry 
Polymer Science ,Chemistry 
Spectroscopy ,Chemistry 
Computer Science; Artificial Intelligence ,Computer sciences 
Computer Science; Cybernetics ,Computer sciences 
Computer Science; Hardware & Architecture ,Computer sciences 
Computer Science; Information Systems ,Computer sciences 
Computer Science; Interdisciplinary Applications ,Computer sciences 
Computer Science; Software Engineering ,Computer sciences 
Computer Science; Theory & Methods ,Computer sciences 
Medical Informatics ,Computer sciences 
Agricultural Engineering ,Engineering 
Automation & Control Systems ,Engineering 
Construction & Building Technology ,Engineering 
Energy & Fuels ,Engineering 
Engineering; Aerospace ,Engineering 
Engineering; Biomedical ,Engineering 
Engineering; Chemical ,Engineering 
Engineering; Civil ,Engineering 
Engineering; Electrical & Electronic ,Engineering 
Engineering; Environmental ,Engineering 
Engineering; Geological ,Engineering 
Engineering; Industrial ,Engineering 
Engineering; Manufacturing ,Engineering 
Engineering; Marine ,Engineering 
Engineering; Mechanical ,Engineering 
Engineering; Multidisciplinary ,Engineering 
Engineering; Ocean ,Engineering 
Engineering; Petroleum ,Engineering 
Imaging Science & Photographic Technology ,Engineering 
Instruments & Instrumentation ,Engineering 
Materials Science; Biomaterials ,Engineering 
Materials Science; Ceramics ,Engineering 
Materials Science; Characterization & Testing ,Engineering 
Materials Science; Coatings & Films ,Engineering 
Materials Science; Composites ,Engineering 
Materials Science; Multidisciplinary ,Engineering 
Materials Science; Paper & Wood ,Engineering 
Materials Science; Textiles ,Engineering 
Hospitality; Leisure; Sport & Tourism ,Engineering 
Medical Laboratory Technology ,Engineering 
Metallurgy & Metallurgical Engineering ,Engineering 
Mining & Mineral Processing ,Engineering 
Nanoscience & Nanotechnology ,Engineering 
Neuroimaging ,Engineering 
Nuclear Science & Technology ,Engineering 
Operations Research & Management Science ,Engineering 
Remote Sensing ,Engineering 
Robotics ,Engineering 
Telecommunications ,Engineering 
Transportation ,Engineering 
Transportation Science & Technology ,Engineering 
Environmental Sciences ,Geosciences 
Environmental Studies ,Geosciences 
Geochemistry & Geophysics ,Geosciences 
Geography; Physical ,Geosciences 
Geology ,Geosciences 
Geosciences; Multidisciplinary ,Geosciences 
Limnology ,Geosciences 
Marine & Freshwater Biology ,Geosciences 
Meteorology & Atmospheric Sciences ,Geosciences 
Mineralogy ,Geosciences 
Oceanography ,Geosciences 
Soil Science ,Geosciences 
Water Resources ,Geosciences 
Archaeology ,Humanities 
Architecture ,Humanities 
Art ,Humanities 
Asian Studies ,Humanities 
Classics ,Humanities 
Cultural Studies ,Humanities 
Dance ,Humanities 
Ethics ,Humanities 
Ethnic Studies ,Humanities 
Film; Radio; Television ,Humanities 
Folklore ,Humanities 
History ,Humanities 
History & Philosophy Of Science ,Humanities 
History Of Social Sciences ,Humanities 
Humanities; Multidisciplinary ,Humanities 
Language & Linguistics ,Humanities 
Literary Reviews ,Humanities 
Literary Theory & Criticism ,Humanities 
Literature ,Humanities 
Literature; African; Australian; Canadian ,Humanities 
Literature; American ,Humanities 
Literature; British Isles ,Humanities 
Literature; German; Dutch; Scandinavian ,Humanities 
Literature; Romance ,Humanities 
Literature; Slavic ,Humanities 
Logic ,Humanities 
Medical Ethics ,Humanities 
Medieval & Renaissance Studies ,Humanities 
Music ,Humanities 
Philosophy ,Humanities 
Poetry ,Humanities 
Religion ,Humanities 
Theater ,Humanities 
Women's Studies ,Humanities 
Mathematics ,Mathematical sciences 
Mathematics; Applied ,Mathematical sciences 
Mathematics; Interdisciplinary Applications ,Mathematical sciences 
Statistics & Probability ,Mathematical sciences 
Allergy ,Medical sciences 
Andrology ,Medical sciences 
Anesthesiology ,Medical sciences 
Audiology & Speech-Language Pathology ,Medical sciences 
Cardiac & Cardiovascular Systems ,Medical sciences 
Clinical Neurology ,Medical sciences 
Critical Care Medicine ,Medical sciences 
Dentistry; Oral Surgery & Medicine ,Medical sciences 
Dermatology ,Medical sciences 
Emergency Medicine ,Medical sciences 
Endocrinology & Metabolism ,Medical sciences 
Gastroenterology & Hepatology ,Medical sciences 
Geriatrics & Gerontology ,Medical sciences 
Health Policy & Services ,Medical sciences 
Hematology ,Medical sciences 
Immunology ,Medical sciences 
Infectious Diseases ,Medical sciences 
Integrative & Complementary Medicine ,Medical sciences 
Medicine; General & Internal ,Medical sciences 
Medicine; Research & Experimental ,Medical sciences 
Microscopy ,Medical sciences 
Neurosciences ,Medical sciences 
Nursing ,Medical sciences 
Obstetrics & Gynecology ,Medical sciences 
Oncology ,Medical sciences 
Ophthalmology ,Medical sciences 
Orthopedics ,Medical sciences 
Otorhinolaryngology ,Medical sciences 
Pathology ,Medical sciences 
Pediatrics ,Medical sciences 
Peripheral Vascular Disease ,Medical sciences 
Pharmacology & Pharmacy ,Medical sciences 
Psychiatry ,Medical sciences 
Public; Environmental & Occupational Health ,Medical sciences 
Radiology; Nuclear Medicine & Medical Imaging ,Medical sciences 
Rehabilitation ,Medical sciences 
Respiratory System ,Medical sciences 
Rheumatology ,Medical sciences 
Sport Sciences ,Medical sciences 
Substance Abuse ,Medical sciences 
Surgery ,Medical sciences 
Toxicology ,Medical sciences 
Transplantation ,Medical sciences 
Tropical Medicine ,Medical sciences 
Urology & Nephrology ,Medical sciences 
Veterinary Sciences ,Medical sciences 
Acoustics ,Physics 
Mechanics ,Physics 
Optics ,Physics 
Physics; Applied ,Physics 
Physics; Atomic; Molecular & Chemical ,Physics 
Physics; Condensed Matter ,Physics 
Physics; Fluids & Plasmas ,Physics 
Physics; Mathematical ,Physics 
Physics; Multidisciplinary ,Physics 
Physics; Nuclear ,Physics 
Physics; Particles & Fields ,Physics 
Thermodynamics ,Physics 
Business ,Professional fields 
Business; Finance ,Professional fields 
Communication ,Professional fields 
Education & Educational Research ,Professional fields 
Education; Scientific Disciplines ,Professional fields 
Education; Special ,Professional fields 
Ergonomics ,Professional fields 
Family Studies ,Professional fields 
Health Care Sciences & Services ,Professional fields 
Hospitality; Leisure; Sport & Tourism ,Professional fields 
Industrial Relations & Labor ,Professional fields 
Information Science & Library Science ,Professional fields 
Law ,Professional fields 
Management ,Professional fields 
Medicine; Legal ,Professional fields 
Primary Health Care ,Professional fields 
Social Work ,Professional fields 
Behavioral Sciences ,Psychology 
Psychology ,Psychology 
Psychology; Applied ,Psychology 
Psychology; Biological ,Psychology 
Psychology; Clinical ,Psychology 
Psychology; Developmental ,Psychology 
Psychology; Educational ,Psychology 
Psychology; Experimental ,Psychology 
Psychology; Mathematical ,Psychology 
Psychology; Multidisciplinary ,Psychology 
Psychology; Psychoanalysis ,Psychology 
Psychology; Social ,Psychology 
Agricultural Economics & Policy ,Social sciences 
Anthropology ,Social sciences 
Area Studies ,Social sciences 
Criminology & Penology ,Social sciences 
Demography ,Social sciences 
Economics ,Social sciences 
Geography ,Social sciences 
Gerontology ,Social sciences 
International Relations ,Social sciences 
Linguistics ,Social sciences 
Planning & Development ,Social sciences 
Political Science ,Social sciences 
Public Administration ,Social sciences 
Social Issues ,Social sciences 
Social Sciences; Biomedical ,Social sciences 
Social Sciences; Interdisciplinary ,Social sciences 
Social Sciences; Mathematical Methods ,Social sciences 
Sociology ,Social sciences 
Urban Studies ,Social sciences 